,V1,V2
pétrole,1.762655,1.2262983
didier,1.7390145,1.5538956
vote,1.4930935,1.7069796
achat,1.8344866,1.2457074
nécessité,1.4093646,1.2999237
incident,2.1373413,1.4551728
importance,1.4512314,1.5319345
numérique,1.5078847,1.6941574
procédure,1.7725354,1.7273072
mandat,1.7780321,1.4344733
togo,1.5557826,1.8557698
obligation,1.8301454,1.3927872
qualité,1.8176036,1.8570092
domaine,1.9624096,1.1786877
iranien,2.026318,1.538509
caractère,2.1737382,1.551357
coût,1.6469189,1.373543
candidature,1.1523404,1.8782408
joe,1.8571006,1.7669246
lyon,1.756,1.8969982
établissement,1.8573544,1.2463657
contraire,1.8825341,1.3026437
échange,1.7306854,1.6731476
test,2.3056886,1.9192725
page,1.8658105,1.6819658
toulouse,1.628889,1.1568711
télévision,1.9407473,1.6989162
extrême,1.4990904,1.3925292
porte,1.4321437,1.4793572
impact,1.9250704,1.0764964
critique,1.4486562,2.1068666
anne,1.5353943,1.7434233
magazine,1.8707592,1.2862093
démocratique,1.9912032,1.2589371
nice,1.774585,1.5217065
drian,1.9585261,0.70138276
code,2.487017,1.2180846
conseiller,1.0527995,1.269104
économiste,1.3361472,1.9574353
évolution,1.8041694,0.91745377
sergueï,1.9730662,1.0545248
mode,2.3386536,1.9731754
secours,1.8768928,1.3124475
futur,1.3627049,1.7476728
art,1.9607008,1.5307612
vert,1.9596999,1.0278988
homologue,0.9630251,1.3260324
pékin,1.5488472,0.93193185
pierre,1.4904423,1.1443508
islamique,1.7646879,1.3271043
version,1.5460839,2.0498679
violation,2.0500352,1.3387393
approche,1.7891599,1.6266655
emploi,1.6891121,1.6990411
adhésion,1.3743333,1.3141681
renforcement,1.593829,1.3800485
scolaire,1.8706176,1.6330649
père,1.9907124,1.0821996
double,1.5691774,1.1892798
régime,1.8912894,1.41507
royaume,1.6155763,1.6401488
moitié,1.3168839,1.2827139
bien,1.7971797,1.8446097
passé,1.5440726,1.5717934
refus,1.461751,1.1887206
mère,1.722075,1.4404755
reconnaissance,1.4060026,1.0760458
bardot,2.0950644,1.0959761
football,1.8199146,1.6948617
institution,1.7072908,1.1640216
agent,1.6648023,1.488036
plateau,1.1859899,1.5802779
individu,1.9043559,1.1287472
suspect,1.7287009,1.4376076
protocole,1.8031342,1.4054503
pied,1.6300535,1.1008513
voie,1.7836797,1.4601676
surveillance,1.6226649,1.4032382
cérémonie,1.5185212,1.4282161
afghanistan,1.3915445,1.6575108
cancer,1.1701989,1.6644123
raoult,1.1230309,1.8286536
pratique,1.5644555,1.6190892
classe,1.4882239,1.3197346
bruno,0.641751,1.3594232
examen,1.2170362,1.7564118
bernard,1.4170603,1.2334324
changement,1.4214585,1.6257784
infection,1.1247929,1.133139
comité,1.2379028,1.9272894
démocratie,1.6602726,1.4438677
miss,1.4840149,1.9564403
commun,1.3504233,1.3154866
crimée,1.6119204,1.6379609
palais,1.4193945,1.8623378
numéro,1.6963307,1.1616803
omicron,1.9067467,1.4712393
arrondissement,1.4853342,1.8593014
étape,1.1207304,1.6342721
distance,2.2026289,1.2229882
plateforme,1.185832,1.8974835
esprit,1.9932187,1.1350256
laboratoire,1.3495827,1.8451302
retraite,1.5824015,1.5741202
tentative,1.2553443,0.9988124
édouard,1.3416411,0.56921846
montant,1.6054081,1.4304868
clair,1.5700082,1.4240124
faute,1.3413589,1.7730408
ap,1.8566236,0.58332556
jaune,1.9418975,1.6395565
province,1.7012635,1.320845
faveur,1.4726346,1.4953156
gabriel,1.7826276,0.6978883
george,1.3844955,2.0673823
bouteflika,1.3487818,1.485619
brigade,1.0472705,1.2583733
australie,1.8290548,1.2905703
marge,1.5417038,1.5803663
dette,1.7473975,1.4843855
niger,1.4288152,0.87068284
tendance,1.1007531,1.2440898
belgique,1.392562,1.5837551
budget,1.1341935,1.7265342
fédération,1.2424437,1.0845345
restaurant,1.9289016,1.7070073
chance,1.4531634,1.7065852
new,1.6765275,1.1149472
maintien,1.1934632,1.6398258
méthode,1.6294378,1.738389
élu,1.6853925,1.6557199
expression,1.7034602,0.83644277
durée,1.7665309,1.3323765
transport,1.8560028,1.3870822
levée,1.224874,1.5979961
échelle,1.4883745,1.2568871
atteinte,1.4299452,0.7884938
info,0.60695875,1.490953
suisse,1.2140566,1.917492
february,1.4158242,1.6906266
suicide,1.5619518,1.0115308
valérie,1.6619889,1.5792137
court,1.3159384,1.3820258
